date,product,quantity,price,region,salesperson
2024-02-10,Tablet,2,1083.7275660022124,East,Charlie
2024-02-11,Tablet,1,1691.6492012239232,West,Alice
2024-02-12,Phone,16,1383.8112223746334,South,Diana
2024-02-13,Monitor,5,1496.9106265574671,West,Charlie
2024-02-14,Monitor,3,497.236079401656,South,Charlie
2024-02-15,Monitor,12,1128.751150272375,West,Diana
2024-02-16,Monitor,8,1421.9903587556562,East,Bob
2024-02-17,Tablet,3,534.2450414148693,South,Charlie
2024-02-18,Phone,1,432.41436148227876,East,Bob
2024-02-19,Phone,3,1966.1198523259277,South,Alice
2024-02-20,Tablet,5,1081.608193414927,East,Bob
2024-02-21,Phone,15,595.5754321777772,East,Alice
2024-02-22,Tablet,14,1992.8820295400562,South,Bob
2024-02-23,Monitor,3,1934.296767448708,South,Charlie
2024-02-24,Tablet,1,1160.7575618534854,South,Charlie
2024-02-25,Monitor,5,1777.0090520597455,North,Alice
2024-02-26,Monitor,14,458.54350584862084,West,Diana
2024-02-27,Laptop,7,629.8555699251456,North,Alice
2024-02-28,Tablet,9,1430.6798769482655,North,Alice
2024-02-29,Laptop,15,1708.6561702527813,East,Bob
2024-03-01,Tablet,15,1727.0161545683757,South,Bob
2024-03-02,Tablet,10,868.5654415321611,West,Alice
2024-03-03,Laptop,13,1786.7631876458236,East,Charlie
2024-03-04,Laptop,19,1716.764052658274,North,Bob
2024-03-05,Tablet,7,1877.7064890198003,South,Diana
2024-03-06,Phone,17,1592.1472371164928,East,Bob
2024-03-07,Monitor,4,1371.0776839570344,South,Bob
2024-03-08,Laptop,5,1203.3045807292638,East,Diana
2024-03-09,Monitor,7,807.3372564673118,South,Alice
2024-03-10,Phone,13,1886.2535406697789,North,Diana
2024-03-11,Phone,15,1949.961289835103,West,Alice
2024-03-12,Phone,11,639.4498520011848,North,Alice
2024-03-13,Laptop,4,680.1913346543475,West,Alice
2024-03-14,Phone,13,1022.6661318138306,South,Diana
2024-03-15,Laptop,7,952.0058716738699,East,Alice
2024-03-16,Phone,19,1989.4691789605592,North,Charlie
2024-03-17,Monitor,2,434.2579800869562,West,Diana
2024-03-18,Monitor,10,134.34319086948966,North,Charlie
2024-03-19,Tablet,13,1038.3980588485258,West,Alice
2024-03-20,Monitor,6,439.76314752052474,North,Bob
2024-03-21,Tablet,12,796.2906907074339,West,Alice
2024-03-22,Monitor,12,1513.9239938074684,West,Charlie
2024-03-23,Laptop,11,1469.7858560790455,South,Charlie
2024-03-24,Monitor,7,685.3155045195396,West,Diana
2024-03-25,Tablet,1,1130.8264380543087,South,Bob
2024-03-26,Tablet,1,1066.746745993644,West,Diana
2024-03-27,Phone,13,1309.0319745532013,East,Charlie
2024-03-28,Laptop,9,575.8774553506098,East,Alice
2024-03-29,Monitor,3,1220.7546103650334,East,Bob
2024-03-30,Phone,7,1959.8964307225172,West,Alice
2024-03-31,Monitor,6,1024.8100906229647,South,Alice
2024-04-01,Monitor,8,1821.5876966652527,South,Bob
2024-04-02,Phone,9,925.3492944698145,West,Diana
2024-04-03,Phone,5,765.1489746198838,East,Alice
2024-04-04,Phone,1,1325.6963878580732,East,Charlie
2024-04-05,Phone,19,1370.9557133598894,South,Alice
2024-04-06,Phone,10,1741.9183736366158,East,Bob
2024-04-07,Monitor,12,537.352009658955,North,Bob
2024-04-08,Phone,15,1048.4674217810293,South,Bob
2024-04-09,Laptop,9,1186.807978497448,East,Diana
