date,month,quarter,category,country,channel,customer_segment,units,order_value,discount_pct,final_value,rating,returned
2024-04-26,4,2,Home,France,mobile,returning,1,409.83,22.8,316.49,3.6,0
2023-01-20,1,1,Electronics,Germany,mobile,returning,2,1053.04,15.7,1776.04,4.3,1
2024-05-31,5,2,Clothing,UK,web,new,2,192.28,41.6,224.39,3.3,0
2023-02-03,2,1,Electronics,France,web,new,3,986.63,20.2,2361.57,3.7,1
2023-05-04,5,2,Clothing,France,web,returning,4,47.58,18.5,155.04,4.0,0
2023-10-14,10,4,Electronics,UK,web,returning,4,405.8,18.2,1327.52,3.6,0
2024-11-28,11,4,Books,UK,web,returning,1,54.56,5.7,51.47,4.8,0
2024-02-20,2,1,Electronics,Germany,web,returning,5,954.52,7.6,4411.9,4.6,0
2023-05-11,5,2,Home,UK,web,returning,2,385.23,15.7,649.76,4.2,0
2023-03-25,3,1,Sports,Germany,web,new,1,242.0,9.0,220.15,4.6,0
2024-02-07,2,1,Electronics,USA,app,new,2,991.72,7.5,1834.72,4.1,0
2023-01-22,1,1,Sports,USA,app,vip,3,42.0,29.2,89.22,3.5,0
2024-09-23,9,3,Home,USA,app,vip,5,134.84,16.0,566.27,3.1,0
2024-08-02,8,3,Home,France,web,new,2,30.51,13.1,53.0,4.1,0
2023-07-23,7,3,Books,UK,web,returning,5,30.3,8.0,139.39,5.0,0
2023-02-17,2,1,Books,Germany,app,returning,3,64.27,6.5,180.24,4.9,0
2024-06-08,6,2,Books,Japan,app,new,3,60.66,0.0,181.98,4.7,0
2023-12-16,12,4,Books,Germany,mobile,returning,2,11.59,2.3,22.65,4.9,0
2023-04-18,4,2,Electronics,France,mobile,returning,1,182.74,2.7,177.72,4.2,0
2024-01-29,1,1,Clothing,Japan,web,returning,1,228.97,9.9,206.39,4.1,0
2024-09-14,9,3,Clothing,USA,mobile,returning,1,220.28,28.7,157.03,3.9,0
2024-10-16,10,4,Electronics,France,mobile,new,1,385.37,11.3,341.91,4.3,0
2024-09-28,9,3,Clothing,Japan,web,returning,1,87.18,13.1,75.73,4.5,0
2023-10-04,10,4,Home,Germany,web,returning,3,512.11,12.3,1347.34,4.1,0
2023-11-06,11,4,Electronics,UK,web,returning,3,1023.78,5.0,2916.41,4.8,0
2023-02-05,2,1,Clothing,UK,web,vip,1,133.39,14.1,114.53,3.7,0
2023-09-18,9,3,Home,UK,mobile,returning,1,300.64,0.9,297.98,4.9,0
2024-04-01,4,2,Electronics,France,mobile,returning,2,453.11,16.2,759.64,3.8,0
2024-04-19,4,2,Books,UK,mobile,returning,1,15.62,6.4,14.62,4.9,0
2024-07-20,7,3,Home,Japan,web,vip,2,484.21,10.3,869.07,3.9,0
2024-07-09,7,3,Clothing,Germany,mobile,returning,1,88.33,10.1,79.44,4.5,0
2023-08-04,8,3,Electronics,USA,app,returning,4,935.07,19.1,3024.86,4.0,0
2024-03-10,3,1,Electronics,USA,web,vip,2,794.14,12.0,1397.22,3.9,0
2023-02-09,2,1,Electronics,UK,web,returning,3,846.87,12.9,2212.96,3.9,0
2023-05-12,5,2,Books,Japan,app,returning,5,63.53,6.1,298.24,4.3,0
2024-02-18,2,1,Sports,France,web,vip,3,115.53,17.5,285.79,4.1,1
2024-04-05,4,2,Home,Japan,mobile,returning,2,335.87,14.8,572.05,3.8,0
2024-10-10,10,4,Books,Japan,mobile,new,2,45.31,8.8,82.66,4.9,0
2024-07-20,7,3,Clothing,France,mobile,new,1,51.14,19.1,41.38,4.1,0
2024-11-09,11,4,Sports,UK,mobile,vip,1,255.18,15.3,216.09,4.2,0
2024-01-09,1,1,Home,UK,app,new,4,70.58,20.1,225.66,3.7,1
2024-12-11,12,4,Clothing,Germany,app,returning,5,295.45,24.7,1111.89,4.2,1
2024-10-23,10,4,Home,USA,mobile,new,2,335.22,22.6,518.65,3.8,0
2023-02-14,2,1,Home,UK,web,vip,1,439.11,9.7,396.33,4.7,0
2024-10-09,10,4,Books,UK,mobile,returning,2,58.69,5.8,110.59,4.8,1
2024-12-22,12,4,Electronics,UK,web,new,1,547.22,6.7,510.68,4.3,0
2024-05-10,5,2,Electronics,USA,web,vip,3,209.25,7.9,578.44,3.9,0
2023-07-17,7,3,Electronics,Japan,app,returning,4,1102.35,8.9,4018.61,3.8,0
2023-04-11,4,2,Sports,USA,app,returning,3,85.57,9.8,231.66,3.8,0
2023-06-30,6,2,Home,France,mobile,new,1,281.37,13.3,243.83,4.5,0
2023-06-19,6,2,Books,Japan,mobile,vip,2,64.91,4.6,123.89,4.5,0
2023-01-30,1,1,Clothing,USA,mobile,new,1,232.31,14.1,199.46,3.5,0
2023-10-10,10,4,Clothing,UK,web,new,2,300.33,14.3,514.73,4.2,0
2023-07-10,7,3,Electronics,USA,mobile,returning,1,540.48,20.8,428.32,3.5,0
2024-12-27,12,4,Clothing,Germany,mobile,returning,2,126.52,16.5,211.36,3.7,0
2023-01-13,1,1,Electronics,Germany,mobile,vip,1,457.91,18.2,374.67,3.2,0
2024-10-08,10,4,Clothing,Germany,web,new,5,106.42,29.5,375.27,3.3,0
2024-05-03,5,2,Clothing,USA,mobile,new,1,229.56,17.9,188.52,3.6,1
2024-03-19,3,1,Books,France,mobile,new,1,56.44,0.0,56.44,5.0,0
2023-04-17,4,2,Electronics,Germany,app,returning,5,1063.05,15.6,4484.27,4.0,0
2024-09-14,9,3,Electronics,UK,app,returning,5,523.83,10.8,2337.44,4.1,0
2024-05-12,5,2,Electronics,UK,mobile,returning,1,415.91,8.5,380.68,4.0,0
2023-12-16,12,4,Sports,France,mobile,vip,2,101.98,16.5,170.38,3.9,0
2024-05-01,5,2,Books,UK,mobile,new,1,31.49,9.2,28.6,4.9,0
2023-08-23,8,3,Clothing,Germany,app,returning,3,207.45,7.5,575.91,3.9,0
2024-06-13,6,2,Clothing,UK,app,returning,4,252.4,14.1,866.79,4.2,0
2023-01-06,1,1,Electronics,USA,web,new,2,635.36,11.2,1128.38,3.7,0
2023-02-19,2,1,Clothing,UK,mobile,returning,1,116.81,21.3,91.95,3.8,1
2024-03-14,3,1,Sports,USA,web,vip,1,222.92,15.8,187.69,3.8,0
2023-11-29,11,4,Clothing,Japan,mobile,vip,1,307.64,20.6,244.13,3.6,0
2024-09-09,9,3,Clothing,Japan,mobile,returning,1,157.23,24.8,118.27,4.0,1
2023-07-02,7,3,Electronics,Japan,web,new,2,1041.25,15.4,1761.79,3.8,0
2024-11-18,11,4,Books,Japan,app,returning,4,24.75,10.8,88.34,4.9,0
2024-02-26,2,1,Clothing,Germany,mobile,returning,2,166.92,12.2,293.09,4.4,0
2024-08-22,8,3,Electronics,Japan,app,returning,2,1090.21,17.3,1804.03,3.7,0
2024-10-23,10,4,Electronics,USA,web,returning,3,727.96,5.3,2068.97,4.5,0
2023-09-18,9,3,Home,Japan,app,new,5,256.55,27.0,935.93,3.2,1
2024-04-20,4,2,Clothing,France,mobile,new,1,102.32,29.0,72.65,3.8,1
2024-08-11,8,3,Sports,France,mobile,returning,1,116.33,20.8,92.1,3.7,0
2023-08-22,8,3,Clothing,USA,web,returning,4,88.67,25.3,264.94,2.8,0
2023-11-28,11,4,Clothing,France,mobile,new,2,271.2,30.9,374.6,3.8,0
2023-08-14,8,3,Clothing,Germany,app,returning,1,166.93,19.9,133.78,3.9,0
2024-04-14,4,2,Sports,Germany,web,vip,1,332.33,23.4,254.56,3.4,0
2023-03-27,3,1,Home,France,mobile,returning,2,203.31,15.5,343.75,3.9,0
2024-11-01,11,4,Electronics,Germany,web,new,1,1085.94,8.1,997.96,4.3,0
2024-04-21,4,2,Clothing,UK,web,vip,4,98.23,29.1,278.71,3.4,0
2023-09-05,9,3,Home,UK,app,vip,5,175.64,4.5,838.36,4.6,0
2023-07-03,7,3,Sports,Japan,web,new,2,301.32,18.2,492.79,4.8,0
2024-09-25,9,3,Sports,Japan,web,vip,4,351.48,18.8,1141.38,4.2,0
2023-03-18,3,1,Sports,Germany,app,returning,2,255.7,8.2,469.44,4.8,0
2024-12-12,12,4,Home,UK,app,vip,2,162.25,29.3,229.52,3.2,0
2023-03-27,3,1,Sports,UK,mobile,returning,1,111.66,24.6,84.23,3.9,0
2024-11-29,11,4,Clothing,Germany,mobile,vip,2,124.85,17.1,207.13,4.4,0
2023-08-19,8,3,Electronics,USA,web,returning,2,326.56,10.8,582.4,4.1,0
2023-11-12,11,4,Clothing,Germany,mobile,new,1,275.17,10.0,247.66,3.8,0
2024-07-29,7,3,Sports,France,app,returning,1,167.58,29.2,118.61,3.8,1
2024-02-05,2,1,Electronics,USA,web,new,3,897.2,7.4,2492.73,4.3,1
2023-02-05,2,1,Home,Germany,web,returning,5,181.38,20.5,721.32,3.9,0
2024-08-12,8,3,Clothing,USA,web,returning,2,77.99,19.1,126.18,3.9,0
2023-10-16,10,4,Electronics,UK,web,vip,2,250.02,18.0,409.85,3.5,0
2024-09-21,9,3,Sports,Germany,web,returning,5,307.94,18.4,1256.91,3.6,1
2024-12-28,12,4,Electronics,Japan,web,returning,1,391.0,24.2,296.28,3.8,0
2023-06-11,6,2,Home,USA,mobile,returning,1,202.76,9.1,184.38,4.0,0
2023-02-15,2,1,Sports,USA,mobile,new,1,80.84,13.9,69.57,4.8,0
2024-09-20,9,3,Clothing,France,mobile,vip,2,36.53,25.5,54.4,3.7,0
2024-04-20,4,2,Clothing,UK,app,returning,3,132.99,17.7,328.19,4.1,0
2024-02-03,2,1,Clothing,France,mobile,returning,2,101.83,12.4,178.41,4.5,0
2023-02-15,2,1,Electronics,USA,web,new,3,213.59,6.3,600.32,4.6,0
2023-02-12,2,1,Books,UK,mobile,new,2,14.36,7.9,26.44,4.7,0
2023-10-18,10,4,Electronics,Japan,app,returning,5,1070.47,6.9,4982.45,4.2,0
2023-04-06,4,2,Electronics,UK,web,returning,4,918.99,9.9,3310.69,4.1,0
2023-07-03,7,3,Electronics,Japan,mobile,returning,2,530.65,14.6,906.55,4.0,0
2023-08-19,8,3,Home,USA,web,returning,1,381.23,21.2,300.44,3.5,0
2023-09-23,9,3,Books,Japan,mobile,new,1,61.93,3.9,59.52,4.1,0
2023-09-27,9,3,Home,UK,web,returning,5,148.53,15.3,628.72,3.8,0
2023-12-08,12,4,Home,Japan,mobile,vip,2,458.88,15.4,776.81,3.8,0
2023-01-02,1,1,Electronics,UK,web,new,3,433.29,15.2,1102.49,4.1,0
2023-10-15,10,4,Sports,Germany,web,vip,4,364.06,30.0,1018.68,3.7,0
2023-07-28,7,3,Home,UK,mobile,new,1,348.79,14.9,296.8,4.1,1
2024-07-14,7,3,Sports,Japan,mobile,returning,2,212.05,29.6,298.62,3.6,0
2024-10-27,10,4,Electronics,Germany,web,new,4,504.3,8.2,1852.22,4.2,0
2024-05-12,5,2,Clothing,Germany,web,returning,4,105.01,14.9,357.4,4.5,0
2023-06-11,6,2,Electronics,Germany,web,new,3,831.11,8.3,2286.48,3.6,0
2023-09-13,9,3,Clothing,USA,mobile,returning,2,69.27,17.9,113.8,4.5,0
2023-12-05,12,4,Home,Germany,web,new,4,257.01,11.0,915.06,3.8,0
2024-07-30,7,3,Clothing,USA,web,returning,2,148.37,8.9,270.25,4.6,0
2024-04-06,4,2,Books,France,web,returning,3,10.29,2.6,30.08,5.0,0
2023-09-24,9,3,Home,USA,mobile,vip,1,283.63,13.8,244.62,4.2,0
2024-03-12,3,1,Clothing,USA,app,new,5,237.95,9.2,1080.21,4.0,0
2024-05-21,5,2,Electronics,France,app,new,3,836.94,16.0,2109.4,4.0,1
2024-06-23,6,2,Electronics,Germany,web,returning,2,1054.84,4.6,2012.43,4.4,0
2023-06-06,6,2,Home,USA,mobile,new,1,305.46,24.3,231.17,3.4,0
2023-01-09,1,1,Clothing,Germany,web,returning,5,52.12,9.1,236.77,4.0,0
2024-04-26,4,2,Books,UK,app,new,3,47.86,6.9,133.73,5.0,0
2024-09-04,9,3,Home,France,web,new,2,320.9,12.3,562.66,4.2,0
2024-03-04,3,1,Books,Germany,web,returning,1,42.89,3.9,41.2,5.0,0
2023-10-26,10,4,Home,Germany,web,new,1,79.42,14.1,68.25,3.8,0
2023-12-15,12,4,Home,UK,app,returning,4,442.07,16.0,1484.48,4.1,0
2024-06-03,6,2,Clothing,Germany,web,returning,4,55.22,22.4,171.43,3.8,0
2023-05-24,5,2,Electronics,USA,web,new,3,854.07,0.0,2562.21,4.3,0
2024-10-02,10,4,Electronics,Japan,app,new,5,1484.12,17.3,6138.84,3.5,0
2023-07-30,7,3,Clothing,France,app,vip,3,96.4,31.1,199.35,3.5,1
2023-08-20,8,3,Clothing,Japan,mobile,returning,1,57.92,18.1,47.45,3.2,0
2024-11-19,11,4,Books,France,mobile,vip,2,42.97,10.0,77.32,4.6,0
2024-03-24,3,1,Home,Germany,app,returning,1,93.68,20.4,74.53,4.1,0
2023-02-14,2,1,Home,UK,app,returning,2,265.55,10.1,477.66,3.8,0
2024-06-05,6,2,Electronics,France,web,returning,4,1094.93,15.6,3695.04,4.0,1
2024-03-16,3,1,Clothing,Japan,mobile,returning,2,116.36,24.2,176.37,3.8,0
2023-06-26,6,2,Electronics,Germany,mobile,new,2,197.15,1.4,388.84,4.7,0
2024-10-01,10,4,Books,Germany,mobile,returning,2,27.55,11.4,48.83,4.9,0
2024-03-03,3,1,Home,UK,app,returning,5,132.57,14.4,567.69,4.2,0
2024-06-01,6,2,Electronics,Germany,mobile,new,2,482.01,15.3,816.73,3.7,0
2023-05-25,5,2,Sports,Japan,web,new,1,32.8,22.8,25.33,3.6,1
2023-01-12,1,1,Electronics,Japan,mobile,new,1,497.17,13.1,432.2,3.8,0
2023-06-10,6,2,Home,Japan,web,returning,4,56.8,12.5,198.87,4.3,0
2024-07-02,7,3,Electronics,France,web,new,2,283.06,19.9,453.35,3.8,1
2023-03-11,3,1,Electronics,USA,app,new,3,643.37,12.3,1692.6,4.1,0
2023-12-30,12,4,Home,Japan,web,returning,2,620.9,13.8,1070.82,3.8,0
2024-08-28,8,3,Electronics,USA,mobile,returning,1,179.0,11.6,158.21,4.2,0
2023-02-19,2,1,Clothing,UK,mobile,vip,2,138.18,20.9,218.72,3.5,0
2024-01-02,1,1,Books,Japan,app,vip,4,29.3,9.6,105.92,4.6,0
2024-05-05,5,2,Electronics,Germany,app,new,1,775.78,18.8,629.61,3.8,0
2024-03-12,3,1,Sports,USA,web,vip,4,290.75,37.6,725.7,4.0,0
2024-10-09,10,4,Clothing,France,web,returning,2,40.12,29.5,56.59,3.3,0
2023-04-03,4,2,Clothing,Japan,mobile,returning,2,202.54,18.8,328.99,3.8,0
2024-05-10,5,2,Electronics,Germany,mobile,returning,1,135.15,14.9,114.97,3.9,0
2024-11-21,11,4,Clothing,USA,web,vip,4,101.0,21.3,318.13,4.0,0
2024-11-19,11,4,Sports,France,web,new,5,398.37,23.2,1528.86,4.3,0
2024-07-13,7,3,Clothing,Germany,app,returning,5,231.05,24.7,869.94,3.4,0
2024-09-30,9,3,Clothing,Germany,app,new,5,119.19,23.8,454.03,3.3,0
2024-04-06,4,2,Home,USA,web,returning,5,320.16,14.7,1365.35,4.4,0
2023-07-31,7,3,Home,Germany,app,returning,3,253.24,21.9,593.47,3.9,1
2023-04-16,4,2,Home,USA,app,new,1,486.59,15.8,409.91,3.8,0
2023-03-19,3,1,Books,USA,mobile,new,1,11.75,8.3,10.77,4.3,0
2024-06-20,6,2,Sports,Japan,web,new,4,240.91,35.3,623.22,3.3,0
2023-03-09,3,1,Sports,Germany,web,new,2,35.18,12.2,61.79,4.4,1
2024-07-15,7,3,Books,UK,web,returning,4,42.35,4.6,161.62,4.5,0
2024-05-05,5,2,Electronics,Japan,mobile,returning,1,1174.72,10.7,1049.11,3.3,0
2024-02-21,2,1,Books,UK,app,vip,4,57.17,8.0,210.45,5.0,0
2023-02-03,2,1,Clothing,Germany,web,returning,3,111.85,26.1,248.12,3.8,0
2023-11-28,11,4,Books,USA,mobile,new,2,21.12,3.5,40.75,4.9,0
2023-03-10,3,1,Electronics,Japan,web,returning,1,691.99,11.4,612.8,4.1,0
2023-08-19,8,3,Electronics,France,web,new,2,915.66,14.7,1562.27,4.0,0
2024-08-30,8,3,Electronics,France,web,vip,3,425.7,11.1,1135.04,3.6,0
2024-09-29,9,3,Clothing,USA,mobile,new,2,44.49,13.9,76.58,3.9,0
2024-07-27,7,3,Clothing,Germany,web,returning,1,140.31,10.9,125.0,4.3,0
2023-03-20,3,1,Electronics,USA,app,returning,4,882.41,16.0,2963.63,3.8,0
2024-03-03,3,1,Home,UK,web,returning,1,368.49,17.3,304.89,4.2,0
2024-08-11,8,3,Clothing,USA,mobile,vip,2,227.47,25.7,338.0,3.7,0
2024-02-05,2,1,Sports,France,mobile,returning,1,76.61,15.5,64.75,3.9,0
2024-01-05,1,1,Clothing,USA,web,new,2,102.41,22.8,158.17,3.7,0
2024-09-26,9,3,Clothing,UK,mobile,vip,2,26.65,13.9,45.87,3.8,0
2024-02-15,2,1,Clothing,France,mobile,new,2,40.51,17.4,66.92,3.8,0
2024-01-16,1,1,Home,Germany,web,returning,3,171.6,12.2,451.95,4.1,0
2024-06-04,6,2,Home,Germany,web,new,3,395.0,29.8,832.43,3.6,0
2024-11-23,11,4,Sports,Japan,app,new,4,235.07,18.5,766.34,4.6,0
2024-08-29,8,3,Clothing,Germany,web,returning,3,159.0,20.8,377.87,3.9,0
2024-12-20,12,4,Home,USA,web,returning,4,156.56,14.3,536.59,3.8,0
2024-02-11,2,1,Electronics,UK,web,vip,2,490.12,13.2,850.79,4.0,0
2023-07-04,7,3,Books,France,mobile,returning,2,33.4,8.8,60.91,3.8,0
2023-07-01,7,3,Home,France,web,new,5,272.63,9.7,1231.04,4.5,0
2024-06-30,6,2,Sports,Japan,mobile,returning,2,182.1,28.5,260.47,3.8,0
2023-09-18,9,3,Home,France,web,vip,1,430.88,15.0,366.36,4.3,0
2023-02-14,2,1,Electronics,Germany,app,new,4,214.52,12.2,753.23,3.9,0
2023-11-08,11,4,Home,Japan,mobile,new,1,61.84,11.2,54.89,3.6,1
2023-10-04,10,4,Books,Germany,mobile,new,2,34.61,2.5,67.5,4.9,1
2024-03-09,3,1,Clothing,Japan,app,vip,3,129.56,18.2,317.86,4.0,0
2023-10-02,10,4,Sports,Germany,app,returning,4,124.9,19.6,401.9,3.3,0
2023-07-04,7,3,Electronics,UK,mobile,returning,1,896.77,17.6,738.99,3.7,0
2024-10-23,10,4,Electronics,Japan,web,returning,4,355.84,0.0,1423.36,4.4,0
2023-05-02,5,2,Electronics,UK,web,returning,5,338.76,2.8,1646.45,5.0,0
2024-02-11,2,1,Electronics,Germany,app,returning,2,695.49,12.4,1217.96,4.3,0
2023-01-19,1,1,Books,UK,mobile,new,2,12.66,7.1,23.53,4.8,0
2023-09-05,9,3,Home,France,web,new,5,408.58,27.9,1473.34,3.0,0
2023-01-06,1,1,Clothing,Japan,app,returning,4,98.91,19.6,318.05,3.9,1
2024-10-07,10,4,Home,USA,web,new,1,402.65,15.3,341.22,3.5,0
2024-04-24,4,2,Books,USA,web,new,4,60.74,6.4,227.38,5.0,0
2023-06-07,6,2,Electronics,Germany,web,new,1,969.78,23.2,745.12,3.1,0
2024-02-05,2,1,Home,USA,mobile,new,2,291.3,14.4,498.59,4.1,0
2023-09-04,9,3,Sports,France,mobile,new,1,264.92,19.7,212.76,4.1,1
2023-03-10,3,1,Clothing,France,mobile,vip,1,86.65,25.6,64.46,3.3,0
2023-08-27,8,3,Electronics,Germany,mobile,returning,2,1166.1,6.8,2172.87,4.5,0
2023-04-13,4,2,Electronics,UK,web,new,2,977.9,4.8,1861.95,4.3,0
2024-12-18,12,4,Sports,UK,web,new,1,154.09,16.4,128.77,4.2,0
2024-03-26,3,1,Electronics,Japan,web,returning,3,499.09,12.6,1308.06,3.9,0
2023-03-30,3,1,Clothing,France,web,new,2,214.26,14.5,366.58,4.0,0
2023-04-02,4,2,Clothing,Japan,mobile,new,2,227.48,20.0,363.99,4.3,1
2024-03-15,3,1,Electronics,France,web,returning,4,896.77,5.0,3408.23,4.4,0
2023-01-17,1,1,Home,France,web,returning,1,190.88,8.0,175.58,4.4,0
2024-05-09,5,2,Sports,USA,mobile,returning,2,212.79,13.5,368.21,4.2,0
2024-01-16,1,1,Clothing,France,web,returning,5,128.17,17.6,527.85,4.0,0
2024-10-07,10,4,Home,France,web,new,1,244.42,13.7,210.98,4.1,0
2023-04-15,4,2,Home,UK,mobile,returning,1,48.53,0.0,48.53,4.5,0
2024-08-28,8,3,Sports,France,mobile,returning,1,143.03,11.1,127.11,4.6,0
2023-03-15,3,1,Home,France,mobile,new,1,240.38,11.5,212.71,4.2,0
2024-03-04,3,1,Sports,Germany,web,new,5,208.9,14.5,893.48,4.1,0
2024-11-26,11,4,Clothing,France,web,new,3,274.09,15.2,697.39,3.8,0
2023-10-23,10,4,Clothing,Germany,mobile,returning,1,288.12,23.5,220.54,4.0,0
2023-07-26,7,3,Home,Japan,mobile,vip,1,141.13,11.1,125.4,4.1,0
2023-07-10,7,3,Electronics,Japan,web,returning,3,632.39,19.4,1529.9,3.8,1
2024-01-22,1,1,Clothing,Japan,app,returning,4,195.17,13.9,672.1,3.7,0
2024-07-03,7,3,Home,UK,mobile,returning,2,269.73,14.0,463.98,3.9,0
2023-12-09,12,4,Electronics,Japan,app,returning,4,1044.42,15.8,3516.67,3.8,0
2023-08-30,8,3,Electronics,UK,web,returning,3,819.48,7.9,2264.01,3.8,0
2023-09-23,9,3,Clothing,UK,web,new,3,213.13,23.9,486.5,3.4,0
2024-11-06,11,4,Home,Germany,web,new,3,410.82,3.8,1185.83,4.6,0
2024-06-11,6,2,Clothing,USA,web,vip,4,101.52,22.1,316.5,3.7,0
2024-11-03,11,4,Electronics,Germany,mobile,returning,1,529.22,10.6,473.14,3.8,0
2023-07-18,7,3,Electronics,USA,app,new,2,1005.47,10.4,1802.03,4.4,0
2024-04-13,4,2,Home,USA,mobile,returning,2,266.47,13.3,462.08,4.6,0
2023-08-01,8,3,Sports,Japan,mobile,returning,2,62.65,17.6,103.23,4.1,0
2024-06-29,6,2,Books,Japan,mobile,new,2,49.52,6.5,92.63,4.6,0
2024-06-17,6,2,Sports,Japan,web,returning,4,107.13,15.2,363.49,4.3,0
