date,year,month,season,source,region,production_gwh,consumption_gwh,co2_tonnes,capacity_pct,spot_price_mwh,cost_usd_k
2022-01-15,2022,1,Winter,Coal,East,57.97,47.69,47.533,57.0,64.12,3716.89
2022-01-16,2022,1,Winter,Solar,North,21.16,18.81,0.0,22.5,65.1,1377.23
2022-01-16,2022,1,Winter,Wind,West,49.24,40.82,0.0,88.1,65.1,3205.59
2022-01-16,2022,1,Winter,Gas,North,82.53,68.32,40.441,82.9,65.1,5372.86
2022-01-16,2022,1,Winter,Nuclear,North,56.85,46.63,0.682,84.2,65.1,3700.89
2022-01-16,2022,1,Winter,Coal,South,45.17,38.8,37.036,62.8,65.1,2940.31
2022-01-17,2022,1,Winter,Solar,West,19.05,16.24,0.0,20.9,74.02,1409.72
2022-01-17,2022,1,Winter,Wind,South,54.17,48.6,0.0,83.7,74.02,4009.79
2022-01-17,2022,1,Winter,Gas,North,89.21,74.92,43.713,77.6,74.02,6603.41
2022-01-17,2022,1,Winter,Nuclear,North,58.59,51.17,0.703,88.4,74.02,4336.91
2022-01-17,2022,1,Winter,Coal,South,50.92,49.6,41.756,62.3,74.02,3769.25
2022-01-18,2022,1,Winter,Solar,West,21.69,19.41,0.0,21.4,74.53,1616.31
2022-01-18,2022,1,Winter,Wind,South,48.57,42.3,0.0,90.4,74.53,3619.91
2022-01-18,2022,1,Winter,Gas,West,72.04,64.37,35.3,74.6,74.53,5369.22
2022-01-18,2022,1,Winter,Nuclear,North,61.1,52.77,0.733,85.1,74.53,4553.69
2022-01-18,2022,1,Winter,Coal,West,50.38,43.57,41.311,64.0,74.53,3754.79
2022-01-19,2022,1,Winter,Solar,East,18.52,18.31,0.0,22.8,66.97,1240.46
2022-01-19,2022,1,Winter,Wind,North,53.25,52.5,0.0,82.3,66.97,3566.45
2022-01-19,2022,1,Winter,Gas,West,76.94,70.49,37.702,77.0,66.97,5152.84
2022-01-19,2022,1,Winter,Nuclear,West,60.98,50.62,0.732,76.7,66.97,4083.82
2022-01-19,2022,1,Winter,Coal,West,63.68,57.97,52.217,51.4,66.97,4264.63
2022-01-20,2022,1,Winter,Solar,North,21.55,18.66,0.0,24.2,68.77,1481.76
2022-01-20,2022,1,Winter,Wind,East,57.46,50.64,0.0,88.7,68.77,3951.62
2022-01-20,2022,1,Winter,Gas,North,95.28,93.24,46.686,72.0,68.77,6552.22
2022-01-20,2022,1,Winter,Nuclear,West,61.49,52.77,0.738,91.9,68.77,4228.49
2022-01-20,2022,1,Winter,Coal,South,51.86,44.37,42.528,62.1,68.77,3566.67
2022-01-21,2022,1,Winter,Solar,East,20.99,18.25,0.0,23.4,65.64,1377.77
2022-01-21,2022,1,Winter,Wind,East,53.1,44.48,0.0,77.2,65.64,3485.42
2022-01-21,2022,1,Winter,Gas,East,78.42,73.3,38.427,71.5,65.64,5147.71
2022-01-21,2022,1,Winter,Nuclear,East,63.58,59.97,0.763,72.0,65.64,4173.23
2022-01-21,2022,1,Winter,Coal,South,53.55,44.72,43.913,52.7,65.64,3515.22
2022-01-22,2022,1,Winter,Solar,North,23.31,19.95,0.0,18.4,71.92,1676.58
2022-01-22,2022,1,Winter,Wind,East,42.9,37.62,0.0,93.2,71.92,3085.5
2022-01-22,2022,1,Winter,Gas,North,75.86,67.37,37.169,73.6,71.92,5455.55
2022-01-22,2022,1,Winter,Nuclear,South,51.67,43.22,0.62,87.5,71.92,3715.78
2022-01-22,2022,1,Winter,Coal,East,49.32,46.67,40.442,59.4,71.92,3547.08
2022-01-23,2022,1,Winter,Solar,North,20.74,18.87,0.0,21.4,64.26,1332.94
2022-01-23,2022,1,Winter,Wind,South,49.04,41.42,0.0,82.0,64.26,3151.13
2022-01-23,2022,1,Winter,Gas,East,74.06,68.13,36.29,67.6,64.26,4759.23
2022-01-23,2022,1,Winter,Nuclear,West,64.21,53.65,0.771,80.8,64.26,4126.03
2022-01-23,2022,1,Winter,Coal,North,56.57,50.12,46.388,59.2,64.26,3635.25
2022-01-24,2022,1,Winter,Solar,South,21.79,18.02,0.0,27.4,51.89,1130.91
2022-01-24,2022,1,Winter,Wind,East,45.5,44.51,0.0,77.3,51.89,2360.97
2022-01-24,2022,1,Winter,Gas,East,75.61,70.87,37.048,74.0,51.89,3923.36
2022-01-24,2022,1,Winter,Nuclear,South,63.35,54.66,0.76,78.7,51.89,3287.39
2022-01-24,2022,1,Winter,Coal,East,51.97,47.88,42.619,62.2,51.89,2696.98
2022-01-25,2022,1,Winter,Solar,West,15.44,14.05,0.0,14.0,67.23,1037.87
2022-01-25,2022,1,Winter,Wind,West,51.71,50.38,0.0,89.8,67.23,3476.56
2022-01-25,2022,1,Winter,Gas,West,87.88,72.6,43.063,70.7,67.23,5908.48
2022-01-25,2022,1,Winter,Nuclear,West,52.64,50.56,0.632,86.0,67.23,3538.67
2022-01-25,2022,1,Winter,Coal,East,45.02,42.95,36.915,49.3,67.23,3026.58
2022-01-26,2022,1,Winter,Solar,West,21.98,18.11,0.0,27.9,61.98,1362.05
2022-01-26,2022,1,Winter,Wind,North,52.14,45.0,0.0,85.9,61.98,3231.82
2022-01-26,2022,1,Winter,Gas,South,87.0,77.98,42.628,77.1,61.98,5392.0
2022-01-26,2022,1,Winter,Nuclear,South,15.58,14.61,0.187,18.2,61.98,965.43
2022-01-26,2022,1,Winter,Coal,South,58.87,50.41,48.272,52.8,61.98,3648.69
2022-01-27,2022,1,Winter,Solar,East,21.05,18.18,0.0,25.9,70.4,1482.09
2022-01-27,2022,1,Winter,Wind,West,50.19,45.66,0.0,90.0,70.4,3533.26
2022-01-27,2022,1,Winter,Gas,South,76.66,64.03,37.565,80.4,70.4,5397.03
2022-01-27,2022,1,Winter,Nuclear,North,60.56,52.71,0.727,75.8,70.4,4263.17
2022-01-27,2022,1,Winter,Coal,West,51.96,45.31,42.606,56.0,70.4,3657.87
2022-01-28,2022,1,Winter,Solar,West,24.65,22.24,0.0,15.2,67.49,1663.73
2022-01-28,2022,1,Winter,Wind,South,52.52,45.9,0.0,82.1,67.49,3544.58
2022-01-28,2022,1,Winter,Gas,East,72.81,71.12,35.677,72.2,67.49,4914.0
2022-01-28,2022,1,Winter,Nuclear,West,56.13,55.33,0.674,80.3,67.49,3788.21
2022-01-28,2022,1,Winter,Coal,South,45.5,41.3,37.313,51.8,67.49,3071.04
2022-01-29,2022,1,Winter,Solar,West,17.89,16.34,0.0,19.7,66.88,1196.7
2022-01-29,2022,1,Winter,Wind,West,53.1,45.69,0.0,77.6,66.88,3551.17
2022-01-29,2022,1,Winter,Gas,East,74.03,63.82,36.275,77.5,66.88,4951.13
2022-01-29,2022,1,Winter,Nuclear,West,9.4,8.42,0.113,18.0,66.88,628.78
2022-01-29,2022,1,Winter,Coal,West,45.03,44.57,36.926,56.7,66.88,3011.75
2022-01-30,2022,1,Winter,Solar,East,19.42,17.93,0.0,14.4,64.18,1246.34
2022-01-30,2022,1,Winter,Wind,South,43.91,36.89,0.0,75.5,64.18,2817.88
2022-01-30,2022,1,Winter,Gas,North,89.32,81.87,43.765,81.7,64.18,5732.32
2022-01-30,2022,1,Winter,Nuclear,South,56.75,51.71,0.681,81.6,64.18,3642.17
2022-01-30,2022,1,Winter,Coal,East,46.63,45.4,38.235,62.2,64.18,2992.6
2022-01-31,2022,1,Winter,Solar,East,20.54,20.32,0.0,27.2,67.7,1390.86
2022-01-31,2022,1,Winter,Wind,North,48.56,45.39,0.0,86.8,67.7,3287.5
2022-01-31,2022,1,Winter,Gas,South,97.08,86.69,47.567,69.6,67.7,6572.03
2022-01-31,2022,1,Winter,Nuclear,South,59.44,54.88,0.713,88.5,67.7,4024.37
2022-01-31,2022,1,Winter,Coal,East,43.95,37.78,36.038,63.8,67.7,2975.32
2022-02-01,2022,2,Winter,Solar,South,16.6,14.99,0.0,15.2,64.26,1066.72
2022-02-01,2022,2,Winter,Wind,East,53.92,48.59,0.0,86.5,64.26,3465.11
2022-02-01,2022,2,Winter,Gas,South,77.85,70.58,38.147,81.0,64.26,5002.71
2022-02-01,2022,2,Winter,Nuclear,South,59.04,52.4,0.708,90.4,64.26,3793.78
2022-02-01,2022,2,Winter,Coal,South,48.23,42.96,39.549,56.4,64.26,3099.31
2022-02-02,2022,2,Winter,Solar,East,17.18,14.26,0.0,13.5,78.26,1344.41
2022-02-02,2022,2,Winter,Wind,East,42.61,35.58,0.0,83.5,78.26,3334.68
2022-02-02,2022,2,Winter,Gas,South,94.12,80.8,46.118,71.5,78.26,7365.68
2022-02-02,2022,2,Winter,Nuclear,North,64.67,53.91,0.776,84.8,78.26,5061.17
2022-02-02,2022,2,Winter,Coal,North,51.32,44.04,42.084,54.9,78.26,4016.42
2022-02-03,2022,2,Winter,Solar,East,17.45,16.16,0.0,24.9,62.2,1085.3
2022-02-03,2022,2,Winter,Wind,East,45.88,39.44,0.0,81.2,62.2,2853.48
2022-02-03,2022,2,Winter,Gas,East,89.8,76.73,44.003,68.5,62.2,5585.75
2022-02-03,2022,2,Winter,Nuclear,North,58.0,52.2,0.696,81.3,62.2,3607.51
2022-02-03,2022,2,Winter,Coal,North,55.03,52.79,45.124,59.6,62.2,3422.83
2022-02-04,2022,2,Winter,Solar,East,19.93,17.27,0.0,25.3,71.63,1427.24
2022-02-04,2022,2,Winter,Wind,West,39.78,34.14,0.0,81.0,71.63,2849.58
2022-02-04,2022,2,Winter,Gas,West,88.03,73.49,43.134,81.5,71.63,6305.55
2022-02-04,2022,2,Winter,Nuclear,North,59.78,55.6,0.717,90.3,71.63,4282.04
2022-02-04,2022,2,Winter,Coal,South,47.37,42.91,38.842,58.3,71.63,3392.97
2022-02-05,2022,2,Winter,Solar,North,22.7,18.81,0.0,22.6,62.3,1414.35
2022-02-05,2022,2,Winter,Wind,East,48.26,42.18,0.0,90.2,62.3,3006.68
2022-02-05,2022,2,Winter,Gas,North,89.45,82.46,43.832,74.9,62.3,5572.95
2022-02-05,2022,2,Winter,Nuclear,East,63.16,53.03,0.758,78.7,62.3,3934.59
2022-02-05,2022,2,Winter,Coal,North,50.52,48.44,41.425,59.3,62.3,3147.32
2022-02-06,2022,2,Winter,Solar,West,21.49,19.42,0.0,15.9,62.41,1340.9
2022-02-06,2022,2,Winter,Wind,West,50.9,50.34,0.0,81.8,62.41,3176.36
2022-02-06,2022,2,Winter,Gas,West,88.18,82.67,43.207,67.6,62.41,5503.11
2022-02-06,2022,2,Winter,Nuclear,North,48.95,44.37,0.587,81.2,62.41,3054.88
2022-02-06,2022,2,Winter,Coal,North,45.96,42.97,37.686,60.4,62.41,2868.28
2022-02-07,2022,2,Winter,Solar,East,16.61,15.43,0.0,22.8,63.0,1046.67
2022-02-07,2022,2,Winter,Wind,East,48.18,46.99,0.0,77.3,63.0,3035.08
2022-02-07,2022,2,Winter,Gas,West,96.13,85.31,47.101,70.8,63.0,6055.9
2022-02-07,2022,2,Winter,Nuclear,West,58.59,53.71,0.703,91.3,63.0,3691.33
2022-02-07,2022,2,Winter,Coal,North,57.93,53.04,47.506,48.3,63.0,3649.88
2022-02-08,2022,2,Winter,Solar,East,22.55,20.27,0.0,19.2,63.72,1437.2
2022-02-08,2022,2,Winter,Wind,South,46.76,41.93,0.0,93.2,63.72,2979.31
2022-02-08,2022,2,Winter,Gas,South,78.58,67.48,38.502,72.5,63.72,5006.85
2022-02-08,2022,2,Winter,Nuclear,South,47.35,40.79,0.568,85.0,63.72,3017.24
2022-02-08,2022,2,Winter,Coal,West,48.41,42.06,39.695,62.8,63.72,3084.56
2022-02-09,2022,2,Winter,Solar,West,19.99,19.46,0.0,16.8,61.43,1228.01
2022-02-09,2022,2,Winter,Wind,South,47.57,43.59,0.0,81.6,61.43,2921.96
2022-02-09,2022,2,Winter,Gas,North,93.94,81.83,46.028,78.1,61.43,5770.44
2022-02-09,2022,2,Winter,Nuclear,North,56.26,52.29,0.675,93.4,61.43,3455.94
2022-02-09,2022,2,Winter,Coal,East,43.71,37.11,35.844,51.3,61.43,2685.22
2022-02-10,2022,2,Winter,Solar,North,19.25,17.94,0.0,15.3,73.81,1421.07
2022-02-10,2022,2,Winter,Wind,East,50.11,48.04,0.0,77.0,73.81,3698.88
2022-02-10,2022,2,Winter,Gas,East,93.57,78.21,45.851,76.2,73.81,6906.61
2022-02-10,2022,2,Winter,Nuclear,East,60.84,54.3,0.73,82.9,73.81,4490.57
2022-02-10,2022,2,Winter,Coal,South,54.9,52.76,45.018,62.8,73.81,4052.19
2022-02-11,2022,2,Winter,Solar,West,20.96,18.03,0.0,29.5,64.69,1355.63
2022-02-11,2022,2,Winter,Wind,North,43.2,40.62,0.0,87.7,64.69,2794.49
2022-02-11,2022,2,Winter,Gas,West,92.37,87.16,45.263,78.8,64.69,5975.62
2022-02-11,2022,2,Winter,Nuclear,South,53.3,44.83,0.64,80.7,64.69,3447.88
2022-02-11,2022,2,Winter,Coal,South,53.39,49.37,43.784,58.0,64.69,3454.11
2022-02-12,2022,2,Winter,Solar,West,25.02,23.26,0.0,23.0,62.67,1567.93
2022-02-12,2022,2,Winter,Wind,East,55.07,50.63,0.0,93.2,62.67,3451.38
2022-02-12,2022,2,Winter,Gas,East,90.31,89.15,44.253,68.0,62.67,5659.84
2022-02-12,2022,2,Winter,Nuclear,North,61.37,57.15,0.736,98.1,62.67,3845.83
2022-02-12,2022,2,Winter,Coal,West,47.45,45.94,38.913,48.1,62.67,2974.0
2022-02-13,2022,2,Winter,Solar,South,20.68,18.05,0.0,20.4,71.36,1476.05
2022-02-13,2022,2,Winter,Wind,East,54.01,51.64,0.0,88.7,71.36,3853.8
2022-02-13,2022,2,Winter,Gas,West,99.51,90.57,48.759,86.5,71.36,7100.84
2022-02-13,2022,2,Winter,Nuclear,West,66.41,56.78,0.797,80.8,71.36,4738.71
2022-02-13,2022,2,Winter,Coal,East,51.9,50.76,42.561,63.6,71.36,3703.82
2022-02-14,2022,2,Winter,Solar,North,18.41,15.29,0.0,20.0,65.24,1200.79
2022-02-14,2022,2,Winter,Wind,North,47.06,42.55,0.0,81.0,65.24,3069.91
2022-02-14,2022,2,Winter,Gas,North,82.77,73.52,40.555,73.8,65.24,5399.65
2022-02-14,2022,2,Winter,Nuclear,North,61.49,59.37,0.738,77.1,65.24,4011.51
2022-02-14,2022,2,Winter,Coal,South,52.06,47.4,42.688,61.1,65.24,3396.31
2022-02-15,2022,2,Winter,Solar,North,11.69,9.59,0.0,22.0,71.93,841.13
2022-02-15,2022,2,Winter,Wind,West,48.65,43.98,0.0,79.7,71.93,3499.67
2022-02-15,2022,2,Winter,Gas,North,97.86,80.26,47.95,76.9,71.93,7038.87
2022-02-15,2022,2,Winter,Nuclear,East,64.38,54.17,0.773,86.9,71.93,4631.06
2022-02-15,2022,2,Winter,Coal,West,50.29,44.58,41.241,54.4,71.93,3617.62
2022-02-16,2022,2,Winter,Solar,South,18.76,16.89,0.0,20.5,71.03,1332.49
2022-02-16,2022,2,Winter,Wind,North,53.69,44.11,0.0,83.8,71.03,3813.45
2022-02-16,2022,2,Winter,Gas,West,90.47,81.39,44.328,77.7,71.03,6425.81
2022-02-16,2022,2,Winter,Nuclear,North,56.92,49.96,0.683,82.1,71.03,4042.73
2022-02-16,2022,2,Winter,Coal,South,46.79,43.41,38.364,67.4,71.03,3323.18
2022-02-17,2022,2,Winter,Solar,West,17.17,15.69,0.0,36.0,62.62,1074.97
2022-02-17,2022,2,Winter,Wind,West,47.94,43.49,0.0,84.6,62.62,3002.27
2022-02-17,2022,2,Winter,Gas,East,85.83,73.54,42.056,81.9,62.62,5374.57
2022-02-17,2022,2,Winter,Nuclear,South,64.73,54.35,0.777,85.5,62.62,4053.7
2022-02-17,2022,2,Winter,Coal,East,49.57,48.75,40.645,58.5,62.62,3103.92
2022-02-18,2022,2,Winter,Solar,East,24.15,22.53,0.0,19.7,60.0,1449.14
2022-02-18,2022,2,Winter,Wind,South,49.11,42.93,0.0,93.1,60.0,2946.66
2022-02-18,2022,2,Winter,Gas,West,83.62,77.46,40.975,79.7,60.0,5017.4
2022-02-18,2022,2,Winter,Nuclear,West,50.81,45.04,0.61,74.5,60.0,3048.45
2022-02-18,2022,2,Winter,Coal,North,46.43,41.89,38.07,68.2,60.0,2785.59
2022-02-19,2022,2,Winter,Solar,West,23.8,21.03,0.0,20.5,64.01,1523.7
2022-02-19,2022,2,Winter,Wind,South,57.34,48.92,0.0,87.3,64.01,3670.56
2022-02-19,2022,2,Winter,Gas,West,88.31,80.66,43.271,77.7,64.01,5652.64
2022-02-19,2022,2,Winter,Nuclear,North,60.69,57.23,0.728,83.3,64.01,3884.47
2022-02-19,2022,2,Winter,Coal,East,43.4,38.99,35.587,70.8,64.01,2777.99
2022-02-20,2022,2,Winter,Solar,North,20.77,18.82,0.0,20.9,70.83,1470.97
2022-02-20,2022,2,Winter,Wind,South,53.84,52.91,0.0,87.7,70.83,3813.82
2022-02-20,2022,2,Winter,Gas,North,81.58,73.8,39.974,67.5,70.83,5778.34
2022-02-20,2022,2,Winter,Nuclear,West,11.48,11.18,0.138,28.8,70.83,812.91
2022-02-20,2022,2,Winter,Coal,East,44.15,42.83,36.206,57.1,70.83,3127.4
2022-02-21,2022,2,Winter,Solar,North,16.9,15.84,0.0,23.4,72.25,1221.21
2022-02-21,2022,2,Winter,Wind,East,47.75,45.82,0.0,85.2,72.25,3450.1
2022-02-21,2022,2,Winter,Gas,West,80.53,74.94,39.46,72.2,72.25,5818.36
2022-02-21,2022,2,Winter,Nuclear,South,51.7,49.78,0.62,81.6,72.25,3735.55
2022-02-21,2022,2,Winter,Coal,North,45.58,40.79,37.373,64.6,72.25,3292.9
2022-02-22,2022,2,Winter,Solar,South,19.36,17.22,0.0,16.7,68.5,1326.08
2022-02-22,2022,2,Winter,Wind,South,52.23,45.03,0.0,93.9,68.5,3577.78
2022-02-22,2022,2,Winter,Gas,West,92.52,85.73,45.335,80.7,68.5,6337.64
2022-02-22,2022,2,Winter,Nuclear,West,53.78,46.32,0.645,87.0,68.5,3684.01
2022-02-22,2022,2,Winter,Coal,South,50.71,47.42,41.585,55.5,68.5,3473.87
2022-02-23,2022,2,Winter,Solar,South,19.99,18.09,0.0,19.4,70.29,1404.97
2022-02-23,2022,2,Winter,Wind,South,47.02,40.42,0.0,89.1,70.29,3305.1
2022-02-23,2022,2,Winter,Gas,North,95.88,86.4,46.98,82.0,70.29,6739.29
2022-02-23,2022,2,Winter,Nuclear,North,60.78,53.78,0.729,90.2,70.29,4272.07
2022-02-23,2022,2,Winter,Coal,East,44.42,40.64,36.428,70.2,70.29,3122.57
2022-02-24,2022,2,Winter,Solar,West,21.2,18.75,0.0,30.8,74.93,1588.49
2022-02-24,2022,2,Winter,Wind,South,52.45,47.99,0.0,80.4,74.93,3929.9
2022-02-24,2022,2,Winter,Gas,South,90.59,76.66,44.389,81.1,74.93,6787.97
2022-02-24,2022,2,Winter,Nuclear,North,51.41,46.64,0.617,88.8,74.93,3852.09
2022-02-24,2022,2,Winter,Coal,West,46.74,38.69,38.327,70.1,74.93,3502.23
2022-02-25,2022,2,Winter,Solar,North,21.64,20.21,0.0,22.5,65.44,1416.28
2022-02-25,2022,2,Winter,Wind,North,54.67,47.42,0.0,75.8,65.44,3577.6
2022-02-25,2022,2,Winter,Gas,East,92.76,77.98,45.451,79.1,65.44,6070.07
2022-02-25,2022,2,Winter,Nuclear,West,53.08,44.95,0.637,81.5,65.44,3473.42
2022-02-25,2022,2,Winter,Coal,South,50.99,49.91,41.809,54.7,65.44,3336.59
2022-02-26,2022,2,Winter,Solar,West,24.23,21.61,0.0,15.0,65.43,1585.19
2022-02-26,2022,2,Winter,Wind,South,47.27,44.89,0.0,86.5,65.43,3092.62
2022-02-26,2022,2,Winter,Gas,East,87.4,75.38,42.827,77.6,65.43,5718.68
2022-02-26,2022,2,Winter,Nuclear,North,48.33,46.44,0.58,78.6,65.43,3161.93
2022-02-26,2022,2,Winter,Coal,South,51.73,43.0,42.419,54.3,65.43,3384.73
2022-02-27,2022,2,Winter,Solar,East,22.01,20.39,0.0,25.4,77.93,1715.44
2022-02-27,2022,2,Winter,Wind,East,44.97,43.95,0.0,81.6,77.93,3504.52
2022-02-27,2022,2,Winter,Gas,West,87.28,76.62,42.767,77.4,77.93,6801.77
2022-02-27,2022,2,Winter,Nuclear,North,61.63,60.98,0.74,82.3,77.93,4802.69
2022-02-27,2022,2,Winter,Coal,West,46.34,38.74,37.997,55.5,77.93,3611.14
2022-02-28,2022,2,Winter,Solar,North,21.19,18.89,0.0,16.0,63.98,1355.74
2022-02-28,2022,2,Winter,Wind,South,50.19,46.54,0.0,93.3,63.98,3211.25
2022-02-28,2022,2,Winter,Gas,West,84.43,79.3,41.368,78.1,63.98,5401.53
